date	type	station_train_code	train_no
2022-08-17	D	D2118(福州-长沙南)	58000D211801
2022-08-17	D	D2121(济南东-上海虹桥)	47000D212102
2022-08-17	D	D2122(上海虹桥-济南东)	5l000D212203
2022-08-17	D	D2123(济南西-上海虹桥)	4p000D212303
2022-08-17	D	D2124(上海虹桥-济南西)	5l000D212402
2022-08-17	D	D2132(上海虹桥-青岛)	5l000D213202
2022-08-17	D	D2133(上海虹桥-青岛)	5l000D213202
2022-08-17	D	D2135(烟台-上海虹桥)	49000D213801
2022-08-17	D	D2136(上海虹桥-烟台)	5l000D213610
2022-08-17	D	D2137(上海虹桥-烟台)	5l000D213610
2022-08-17	D	D2138(烟台-上海虹桥)	49000D213801
2022-08-17	D	D2139(青岛-上海虹桥)	49000D214200
2022-08-17	D	D2140(上海虹桥-青岛)	5l000D214010
